"code", "display", "parent"
"https://www.gov.uk/api/content/education/inspection-of-non-maintained-schools", "Inspection of non-maintained schools", "https://www.gov.uk/api/content/education/inspection-and-performance-of-schools"
"https://www.gov.uk/api/content/education/education-of-disadvantaged-children", "Education of disadvantaged children", "https://www.gov.uk/api/content/education"
"https://www.gov.uk/api/content/education/starting-and-attending-school", "Starting and attending school", "https://www.gov.uk/api/content/education"
"https://www.gov.uk/api/content/education/home-schooling", "home schooling", "https://www.gov.uk/api/content/education/starting-and-attending-school"
"https://www.gov.uk/api/content/education/sending-a-child-to-school", "Sending a child to school", "https://www.gov.uk/api/content/education/starting-and-attending-school"
"https://www.gov.uk/api/content/education/help-with-school-costs", "Help with school costs", "https://www.gov.uk/api/content/education/starting-and-attending-school"
"https://www.gov.uk/api/content/education/dealing-with-problems-at-school", "Dealing with problems at school", "https://www.gov.uk/api/content/education/starting-and-attending-school"
"https://www.gov.uk/api/content/education/running-and-managing-a-school", "Running and managing a school", "https://www.gov.uk/api/content/education"
"https://www.gov.uk/api/content/education/school-to-school-support", "School-to-school support", "https://www.gov.uk/api/content/education/running-and-managing-a-school"
"https://www.gov.uk/api/content/education/recruiting-and-managing-non-teaching-school-staff", "Recruiting and managing non-teaching school staff", "https://www.gov.uk/api/content/education/running-and-managing-a-school"
"https://www.gov.uk/api/content/education/careers-guidance-in-schools", "Careers guidance in schools", "https://www.gov.uk/api/content/education/running-and-managing-a-school"
"https://www.gov.uk/api/content/education/school-admissions", "School admissions", "https://www.gov.uk/api/content/education/running-and-managing-a-school"
"https://www.gov.uk/api/content/education/school-trips-and-extracurricular-activity", "School trips and extracurricular activity", "https://www.gov.uk/api/content/education/running-and-managing-a-school"
"https://www.gov.uk/api/content/education/school-complaints-and-whistleblowing", "School complaints and whistleblowing", "https://www.gov.uk/api/content/education/running-and-managing-a-school"
"https://www.gov.uk/api/content/education/setting-up-or-changing-the-status-of-a-school", "Setting up or changing the status of a school", "https://www.gov.uk/api/content/education/running-and-managing-a-school"
"https://www.gov.uk/api/content/education/set-up-develop-multi-academy-trust", "Set up and develop a multi-academy trust (MAT)", "https://www.gov.uk/api/content/education/setting-up-or-changing-the-status-of-a-school"
